Title,Author,Average Rating,Rating,Year Published,Edition
"Python for data analysis: Analysis and wrangling, using tools like Panda and NumPy. Reading and writing CSV, HTML, XML, JSON, MATLAB. And much more!",Tony Wes,3.50,2,0,4
Qualitative Data Analysis: A Sourcebook of New Methods,Matthew B. Miles,4.10,10,1984,2
Your Statistical Consultant: Answers to Your Data Analysis Questions,Rae R. Newton,3.75,24,1999,11
Semisupervised Learning for Computational Linguistics,Steven Abney,3.38,8,2007,7
"Statistics for Social Data Analysis, 4th Edition",David Knoke,3.07,14,2002,2
Solutions manual for Statistical methods for survival data analysis,Elisa T. Lee,4.00,2,0,1
Modes of Thinking for Qualitative Data Analysis,Melissa Freeman,4.10,20,0,4
Microsoft Excel: Advanced Microsoft Excel Data Analysis for Business,John Slavio,2.00,1,0,5
"Stats with Cats: The Domesticated Guide to Statistics, Models, Graphs, and Other Breeds of Data Analysis",Charles Kufs,4.14,7,2011,2
Applied Survey Data Analysis,Steven G. Heeringa,4.00,17,2009,12
Data Analysis and Decision Making,S. Christian Albright,4.10,10,2010,1
Statistics and Data Analysis for Microarrays Using R and Bioconductor,Sorin Drăghici,4.22,9,2011,9
Maximize Your Book Sales With Data Analysis,Mike Kowis,3.00,5,0,1
Microsoft Office Access 2007 Data Analysis,Michael    Alexander,3.83,23,2007,12
Decolonial Feminist Research,Jeong-Eun Rhee,4.50,6,0,2
Principles of Statistics: Data Analysis and Visualization,David Krus,4.00,3,2010,1
"R Through Excel: A Spreadsheet Interface for Statistics, Data Analysis, and Graphics",Richard M. Heiberger,3.62,8,2009,10
Statistics and Data Analysis in Geology,John C.  Davis,3.86,14,1973,12
"High-Dimensional Data Analysis with Low-Dimensional Models: Principles, Computation, and Applications",John Wright,5.00,1,0,2
"Excel Data Analysis: Your visual blueprint for analyzing data, charts, and PivotTables",Paul McFedries,3.85,13,2013,1
"Python for Data Analysis: The Ultimate Beginner's Guide to Learn programming in Python for Data Science with Pandas and NumPy, Master Statistical Analysis, and Visualization",Matt Foster,3.00,1,0,1
A PRACTITIONER'S GUIDE TO BUSINESS ANALYTICS: Using Data Analysis Tools to Improve Your Organization’s Decision Making and Strategy,Randy Bartlett,3.57,53,2012,8
Excel Data Filters: Quickly & Easily Sort and Filter Data (Data Analysis With Excel Book 1),Scott Hartshorn,3.75,4,0,1
"Data Science Algorithms in a Week: Top 7 algorithms for computing, data analysis, and machine learning",David Natingga,3.40,5,0,4
Quantitative Geography: Perspectives on Spatial Data Analysis,A. Stewart Fotheringham,3.89,9,2000,14
"R Through Excel: A Spreadsheet Interface for Statistics, Data Analysis, and Graphics",Richard M. Heiberger,3.62,8,2009,10
Principles of Statistics: Data Analysis and Visualization,David Krus,4.00,3,2010,1
Excel Data Filters: Quickly & Easily Sort and Filter Data (Data Analysis With Excel Book 1),Scott Hartshorn,3.75,4,0,1
"Python for Data Analysis: The Ultimate Beginner's Guide to Learn programming in Python for Data Science with Pandas and NumPy, Master Statistical Analysis, and Visualization",Matt Foster,3.00,1,0,1
A PRACTITIONER'S GUIDE TO BUSINESS ANALYTICS: Using Data Analysis Tools to Improve Your Organization’s Decision Making and Strategy,Randy Bartlett,3.57,53,2012,8
The federal government's data collection and analysis of foreign direct investment in the United States : hearing before the Subcommittee on International Economic Policy and Trade of [Leather Bound],The federal government's data collection and analysis of foreign direct investment in the United Sta,0.00,0,0,1
Data Notebook: Data Pow Notebook journal 120 lined pages (6 x 9) - Data lovers - computer science - data analysis sheets,Data Analysis Computer,0.00,0,0,1
Data Analysis A Complete Guide - 2023 Edition,The Art of Service - Data Analysis Publishing,0.00,0,0,1
Statistics and Data Analysis for Financial Engineering: with R examples,David Ruppert,3.38,8,2015,4
Introduction to Business Statistics: A Computer Integrated Data Analysis Approach,Alan H. Kvanli,3.45,11,1989,15
Health insurance and the uninsured : background data and analysis prepared for the Subcommittee on Labor-Management Relations and the Subcommittee on Labor Standards of the Committee [Leather Bound],Health insurance and the uninsured : background data and analysis prepared for the Subcommittee on L,0.00,0,0,1
Long-Term Performance Program: Making Something of It : Papers from the International Contest on Ltpp Data Analysis 1998-1999,International Contest on Ltpp Data Analysis 1998-1999,0.00,0,2001,1
Next-Generation Sequencing Data Analysis,Xinkun Wang,4.10,10,2015,10
Density Estimation for Statistics and Data Analysis,Bernard W. Silverman,3.92,12,1986,11
Introduction to Statistics and Data Analysis (with CD-ROM) (Available Titles CengageNOW),Roxy Peck,3.61,18,0,68
"Air quality data - 1977 annual statistics : including summaries with reference to standards Monitoring and Data Analysis Division, National Air Data Branch. 1978 [Leather Bound]",United States. Environmental Protection Agency. Monitoring and Data Analysis Division.,0.00,0,0,1
Data Analysis And Reporting A Complete Guide - 2023 Edition,The Art of Service - Data Analysis And Reporting Publishing,0.00,0,0,1
"AEROS manual series National Air Data Branch, Monitoring and Data Analysis Division. 1977 [Leather Bound]",United States. Environmental Protection Agency. Monitoring and Data Analysis Division.,0.00,0,0,1
Epidemiology: Study Design and Data Analysis,Mark Woodward,3.64,11,1999,11
"AEROS manual series National Air Data Branch, Monitoring and Data Analysis Division. 1977 [Leather Bound]",United States. Environmental Protection Agency. Monitoring and Data Analysis Division.,0.00,0,0,1
Next-Generation Sequencing Data Analysis,Xinkun Wang,4.10,10,2015,10
Cassandra Data Modeling and Analysis,C.Y. Kan,3.38,16,2014,2
BOMEX : period III atlas of low-level atmospheric data / Center for Experiment Design and Data Analysis. 1975 [Leather Bound],United States. Environmental Data Service. Center for Experiment Design and Data Analysis.,0.00,0,0,1
Thinking in Pandas: How to Use the Python Data Analysis Library the Right Way,Hannah Stepanek,3.42,19,0,3
Access Data Analysis Cookbook: Slicing and Dicing to Find the Results You Need,Ken Bluttman,3.28,18,2007,14
Quantitative Data Analysis: Doing Social Research to Test Ideas,Donald J. Treiman,3.18,11,2009,10
Statistics and Data Analysis for Financial Engineering: with R examples,David Ruppert,3.38,8,2015,4
Frontiers in Massive Data Analysis,National Research Council,4.33,3,2013,2
Qualitative Data Analysis A Complete Guide - 2023 Edition,The Art of Service - Qualitative Data Analysis Publishing,0.00,0,0,1
"An Introduction to Survey Research, Polling, and Data Analysis",Herbert F. Weisberg,3.67,6,1989,8
Spatial Data Analysis: Theory and Practice,Robert P.   Haining,3.71,7,1999,12
"Air quality data - 1977 annual statistics : including summaries with reference to standards Monitoring and Data Analysis Division, National Air Data Branch. 1978 [Leather Bound]",United States. Environmental Protection Agency. Monitoring and Data Analysis Division.,0.00,0,0,1
Data Analysis And Reporting A Complete Guide - 2023 Edition,The Art of Service - Data Analysis And Reporting Publishing,0.00,0,0,1
Introduction to Business Statistics: A Computer Integrated Data Analysis Approach,Alan H. Kvanli,3.45,11,1989,15
